Date,Open,High,Low,Close,Volume,RSI14,Tenkan,Kijun,SenkouA,SenkouB
2025-06-23,130.47,133.25,126.82,129.58,65152874,68.60970698980435,124.155,120.45855,104.6,99.5
2025-06-24,133.43,138.79,132.93,138.43,78571997,75.4255589851511,126.925,123.22855,105.19749999999999,99.5
2025-06-25,140.94,144.18,139.46,143.4,74607219,78.2780332079401,129.62,125.92355,106.41749999999999,99.5
2025-06-26,145.97,146.0,141.91,143.68,58180081,78.42993950235717,130.53,126.83355,106.41749999999999,99.5
2025-06-27,144.18,147.7504,141.63,143.81,61937853,78.50509869116229,132.7652,127.70875000000001,107.58749999999999,99.5
2025-06-30,144.0,146.0,141.01,141.9,42972468,74.40309165205794,136.7602,127.70875000000001,107.5975,99.5
2025-07-01,138.77,140.23,135.1202,136.11,55257237,63.56087066547211,136.7602,127.70875000000001,108.9425,99.5
2025-07-02,135.53,139.78,135.22,138.52,39227986,65.79515317095004,137.2852,128.18290000000002,109.11427499999999,99.5
2025-07-03,139.11,139.5,137.32,137.91,28645993,64.71356263448801,137.2852,128.18290000000002,109.11427499999999,99.5
2025-07-07,136.56,137.44,133.5,134.8,37395010,59.35620838446391,140.3402,128.18290000000002,108.399275,99.5
2025-07-08,137.32,139.15,135.91,137.82,36124612,62.594539811988476,140.6252,128.18290000000002,109.636775,99.5
2025-07-09,138.69,140.65,137.59,138.41,37013130,63.211237066596894,140.6252,129.3802,109.164275,99.5
2025-07-10,143.0,145.82,141.85,144.16,61101465,68.63800457928988,140.6252,130.5152,109.539275,99.5
2025-07-11,142.6,147.4,141.6,146.42,50049179,70.48111461810507,140.45,131.2302,109.934275,99.5
2025-07-14,145.09,147.58,141.9,146.24,44718554,70.12761787754627,140.54000000000002,131.2302,110.338025,99.5
2025-07-15,153.75,158.68,153.56,155.61,93370081,76.68346044476054,146.09,136.87,110.338025,99.5
2025-07-16,155.31,160.36,152.85,160.08,59492760,79.04599572947504,146.93,137.71,111.7201,99.5
2025-07-17,161.81,161.96,158.68,160.41,50605117,79.21344674638658,147.73000000000002,138.51,112.596325,99.5
2025-07-18,159.59,160.83,155.81,156.99,48859835,72.72691186719629,148.935,138.51,113.41884999999999,100.285
2025-07-21,157.62,160.34,156.92,157.0,39021130,72.73394250573422,149.775,138.51,113.60884999999999,100.475
2025-07-22,156.2,156.2291,149.34,154.72,49028017,68.40419358882352,151.78,138.51,114.20750000000001,100.475
2025-07-23,156.315,159.4485,156.0,158.65,41510896,71.54816280489136,151.78,139.87,115.945,100.475
2025-07-24,159.12,163.93,158.36,162.12,48440112,74.00750218891599,152.91500000000002,144.85,118.14714999999998,102.30965
2025-07-25,163.505,167.175,162.36,166.47,53432260,76.72372893555678,158.2575,146.4725,120.7725,103.59
2025-07-28,169.08,174.7,168.67,173.66,68267835,80.37434727969239,162.01999999999998,150.76,121.031775,103.59
2025-07-29,175.205,182.31,174.68,177.44,108154838,81.97492815330975,165.825,154.565,122.084275,104.64250000000001
2025-07-30,175.605,180.37,173.8,179.51,64820291,82.80209348904712,165.825,157.62,122.306775,104.86500000000001
2025-07-31,182.015,182.5,173.0,176.31,71765285,76.92519431661752,165.92000000000002,158.0,125.076775,108.83
2025-08-01,170.16,174.4,166.82,171.7,75396130,69.29485987250376,165.92000000000002,158.0,127.771775,113.965
2025-08-04,174.605,177.86,173.56,176.78,52951044,72.5285874683343,169.25,158.0,128.68177500000002,114.875
2025-08-05,177.565,177.99,171.8,174.31,88808520,68.73799468326553,170.43,158.0,130.236975,115.7502
2025-08-06,165.05,166.18,157.8,163.12,133641835,54.77193706799629,170.15,158.0,132.234475,115.7502
2025-08-07,166.835,175.75,166.7,172.4,95448310,61.71847991285021,170.15,158.0,132.234475,115.7502
2025-08-08,174.04,176.48,170.52,172.76,68866692,61.96254820030587,170.15,158.0,132.73405000000002,115.7502
