run,path,asset,model,model_run,mode,signal_source,portfolio_weighting,m_total_return,m_cagr,m_sharpe,m_max_drawdown,m_n_bars,m_turnover_sum,m_avg_bar_return,m_vol_bar,m_ann_factor,t_n_trades,t_win_rate,t_profit_factor,finance_score,trade_score,reliability_score,principle_flags,n_principle_flags,stress_total_return_bps10,stress_sharpe_bps10,stress_total_return_bps20,stress_sharpe_bps20,stress_total_return_bps35,stress_sharpe_bps35,ml_quality_score,cv_present,n_folds,cv_metric,cv_mean,cv_std,calibration_quality_score,pass_finance,pass_stress,pass_ml,promotion_score,decision
bt_crypto_5y_SOL-USD_mlp_wv_dwt_db6,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_SOL-USD_mlp_wv_dwt_db6,SOL-USD,mlp,,long_short,predict,,0.04686472543549591,0.023672131519349993,0.6868671536485105,-0.020276101686630854,716.0,9.196908245258578,6.563561126216198e-05,0.0018275336742599605,365.76083916083917,84,0.5595238095238095,1.2881794018115034,0.5135716794346105,0.5213473974818432,0.516293180751142,,0,0.03766781719023733,0.5524477247542148,0.028470908944978755,0.4180282958599191,0.014675546577090887,0.21639915251847552,0.0,,,,,,,False,False,False,0.3153133716026221,reject
bt_crypto_5y_SOL-USD_rf_fft,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_SOL-USD_rf_fft,SOL-USD,rf,,long_short,predict,,0.07987012262829873,0.04003386807658127,0.6821689788417103,-0.08102514047023612,716.0,7.794670587322631,0.00011227476429260113,0.0031476670529344644,365.76083916083917,249,0.5261044176706827,1.3571239187247166,0.4840408899273489,0.49388849434981724,0.48748755147521283,,0,0.0720754520409761,0.6160243539251101,0.06428078145365347,0.5498797290085101,0.05258877557266953,0.45066279163360984,0.0,,,,,,,False,True,False,0.30935913298700535,reject
bt_crypto_5y_SOL-USD_rf_voltarget,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_SOL-USD_rf_voltarget,SOL-USD,rf,,long_short,predict,,0.07987012262829873,0.04003386807658127,0.6821689788417103,-0.08102514047023612,716.0,7.794670587322631,0.00011227476429260113,0.0031476670529344644,365.76083916083917,249,0.5261044176706827,1.3571239187247166,0.4840408899273489,0.49388849434981724,0.48748755147521283,,0,0.0720754520409761,0.6160243539251101,0.06428078145365347,0.5498797290085101,0.05258877557266953,0.45066279163360984,0.0,,,,,,,False,True,False,0.30935913298700535,reject
bt_crypto_5y_SOL-USD_rf_wv_cwt_morlet,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_SOL-USD_rf_wv_cwt_morlet,SOL-USD,rf,,long_short,predict,,0.07987012262829873,0.04003386807658127,0.6821689788417103,-0.08102514047023612,716.0,7.794670587322631,0.00011227476429260113,0.0031476670529344644,365.76083916083917,249,0.5261044176706827,1.3571239187247166,0.4840408899273489,0.49388849434981724,0.48748755147521283,,0,0.0720754520409761,0.6160243539251101,0.06428078145365347,0.5498797290085101,0.05258877557266953,0.45066279163360984,0.0,,,,,,,False,True,False,0.30935913298700535,reject
bt_crypto_5y_SOL-USD_rf_wv_cwt_morlet_ar5,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_SOL-USD_rf_wv_cwt_morlet_ar5,SOL-USD,rf,,long_short,predict,,0.07987012262829873,0.04003386807658127,0.6821689788417103,-0.08102514047023612,716.0,7.794670587322631,0.00011227476429260113,0.0031476670529344644,365.76083916083917,249,0.5261044176706827,1.3571239187247166,0.4840408899273489,0.49388849434981724,0.48748755147521283,,0,0.0720754520409761,0.6160243539251101,0.06428078145365347,0.5498797290085101,0.05258877557266953,0.45066279163360984,0.0,,,,,,,False,True,False,0.30935913298700535,reject
bt_crypto_5y_ETH-USD_hgb_wv_cwt_morlet_ar5,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_ETH-USD_hgb_wv_cwt_morlet_ar5,ETH-USD,hgb,,long_short,predict,,0.10848004352224772,0.05401975815121518,0.9350907225817444,-0.0598253686341389,716.0,22.22637462539012,0.0001484558528803558,0.003036282515608842,365.76083916083917,239,0.5062761506276151,1.1155197973603466,0.5561780354959254,0.3504671724104824,0.48417923341602037,,0,0.0862536688968576,0.7395613387702122,0.06402729427146747,0.54403195495868,0.03068773233338229,0.25073787924138174,0.0,,,,,,,False,True,False,0.3071009750007122,reject
bt_crypto_5y_ETH-USD_hgb_wv_cwt_ricker_ar5,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_ETH-USD_hgb_wv_cwt_ricker_ar5,ETH-USD,hgb,,long_short,predict,,0.14257380838169142,0.0704577950339802,1.2996828964891152,-0.04337954115829801,716.0,18.01250159040076,0.0001900730822291154,0.0027969314095260185,365.76083916083917,199,0.4824120603015075,0.9914365318017773,0.6402716817100483,0.25672110552763816,0.42602898004620476,weak_profit_factor,1,0.12456130679129067,1.1276633508070928,0.10654880520088991,0.9556438051250702,0.07953005281528877,0.6976144866020363,0.0,,,,,,,False,True,False,0.3059892244097929,reject
bt_crypto_5y_ETH-USD_hgb_wv_cwt_ricker,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_ETH-USD_hgb_wv_cwt_ricker,ETH-USD,hgb,,long_short,predict,,0.14126879869511733,0.0698330474641129,1.2886230736795625,-0.044059978061184224,716.0,18.4505829904532,0.0001884775751118932,0.002797257099653719,365.76083916083917,199,0.48743718592964824,1.0050653836874544,0.6377499129545188,0.2677944980362389,0.42826551773312077,weak_profit_factor,1,0.12281821570466413,1.112440362532402,0.10436763271421093,0.9362576513852414,0.07669175822853112,0.6719835846645005,0.0,,,,,,,False,True,False,0.30576535860710957,reject
bt_crypto_5y_SOL-USD_rf_hmm,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_SOL-USD_rf_hmm,SOL-USD,rf,,long_short,predict,,0.08113749653933233,0.040657230032471015,0.6995702223671962,-0.08102514047023612,716.0,7.594068152539425,0.00011379879801978241,0.0031110354671961588,365.76083916083917,246,0.5203252032520326,1.2927479123768135,0.4881743853665635,0.4548056662606231,0.4764953336794843,,0,0.07354342838679291,0.6343690945015248,0.06594936023425349,0.5691679666358532,0.054558258005444345,0.47136627483734617,0.0,,,,,,,False,True,False,0.30476003102140536,reject
bt_crypto_5y_SOL-USD_rf_wv_dwt_db8_ar5,C:\Users\dunnm\source\repos\finance-scrapers-portfolio\artifacts\backtests\bt_crypto_5y_SOL-USD_rf_wv_dwt_db8_ar5,SOL-USD,rf,,long_short,predict,,0.04169330979910546,0.02108576761861447,0.5110186952242775,-0.05212896280212598,716.0,11.956919612580577,5.9528735915466854e-05,0.002227862966197642,365.76083916083917,117,0.5299145299145299,1.686134065015079,0.4536625289276366,0.6486107566072128,0.5218944086154883,,0,0.02973639018652488,0.3676625166865006,0.017779470573944304,0.22430633814872367,-0.00015590884492656248,0.009272070342058342,0.0,,,,,,,False,False,False,0.3038649000996729,reject
