Date,close,ret,signal,position,turnover,cost,strategy_ret,equity
2025-08-08,4008.37,0.024440673287772885,1,1.0,0.0,0.0,0.024440673287772885,1.5254160666748624
2025-08-09,4262.91,0.06350212181011239,1,1.0,0.0,0.0,0.06350212181011239,1.622283223551952
2025-08-10,4251.61,-0.002650771421400022,1,1.0,0.0,0.0,-0.002650771421400022,1.6179829215455437
2025-08-11,4225.0,-0.006258805487803332,1,1.0,0.0,0.0,-0.006258805487803332,1.6078562811570023
2025-08-12,4590.0,0.08639053254437878,-1,1.0,0.0,0.0,0.08639053254437878,1.7467598415409802
2025-08-13,4750.83,0.03503921568627444,-1,-1.0,2.0,0.001,-0.03603921568627444,1.6838079868595623
2025-08-14,4549.29,-0.042422060987238,-1,-1.0,0.0,0.0,0.042422060987238,1.7552385919689173
2025-08-15,4443.2,-0.02332012248065085,-1,-1.0,0.0,0.0,0.02332012248065085,1.7961709709163978
2025-08-16,4424.21,-0.004273946705077414,-1,-1.0,0.0,0.0,0.004273946705077414,1.8038477099193015
2025-08-17,4472.99,0.011025697243123522,1,-1.0,0.0,0.0,-0.011025697243123522,1.7839590311970297
2025-08-18,4312.56,-0.03586638914909257,1,1.0,2.0,0.001,-0.03686638914909257,1.7181909033268818
2025-08-19,4074.66,-0.055164449885914735,1,1.0,0.0,0.0,-0.055164449885914735,1.6234078473458715
2025-08-20,4334.99,0.06388999327551259,1,1.0,0.0,0.0,0.06388999327551259,1.7271273637962137
2025-08-21,4223.73,-0.025665572469602105,1,1.0,0.0,0.0,-0.025665572469602105,1.6827996512764691
2025-08-22,4830.0,0.14353900462387514,-1,1.0,0.0,0.0,0.14353900462387514,1.9243470382020977
2025-08-23,4776.69,-0.011037267080745372,-1,-1.0,2.0,0.001,0.010037267080745371,1.9436622233805736
2025-08-24,4779.18,0.0005212814731541116,-1,-1.0,0.0,0.0,-0.0005212814731541116,1.9426490282734559
2025-08-25,4377.69,-0.08400813528680662,0,-1.0,0.0,0.0,0.08400813528680662,2.1058473506554356
2025-08-26,4600.83,0.050972088019023865,-1,0.0,1.0,0.0005,-0.0005,2.104794426980108
2025-08-27,4506.04,-0.020602804276619646,-1,-1.0,1.0,0.0005,0.020102804276619646,2.147106697388209
2025-08-28,4512.18,0.001362615511624421,-1,-1.0,0.0,0.0,-0.001362615511624421,2.1441810164972352
2025-08-29,4359.78,-0.033775248327859386,1,-1.0,0.0,0.0,0.033775248327859386,2.2166012627893115
2025-08-30,4374.39,0.0033510865227146525,-1,1.0,2.0,0.001,0.0023510865227146524,2.221812684144488
2025-08-31,4391.93,0.004009701924154063,-1,-1.0,2.0,0.001,-0.005009701924154063,2.2106820648656194
2025-09-01,4314.38,-0.0176573852497649,-1,-1.0,0.0,0.0,0.0176573852497649,2.249716929749697
2025-09-02,4325.58,0.002595969756952199,-1,-1.0,0.0,0.0,-0.002595969756952199,2.2438767326383635
2025-09-03,4450.0,0.028763772719496483,-1,-1.0,0.0,0.0,-0.028763772719496483,2.1793343722901874
2025-09-04,4299.15,-0.033898876404494516,0,-1.0,0.0,0.0,0.033898876404494516,2.2532113588205194
2025-09-05,4307.02,0.0018305944198273583,1,0.0,1.0,0.0005,-0.0005,2.2520847531411095
2025-09-06,4274.96,-0.007443661742922103,1,1.0,1.0,0.0005,-0.007943661742922103,2.2341949536457646
2025-09-07,4305.19,0.007071411194490507,1,1.0,0.0,0.0,0.007071411194490507,2.2499938648516493
2025-09-08,4307.5,0.0005365616848502786,1,1.0,0.0,0.0,0.0005365616848502786,2.251201125350677
2025-09-09,4308.23,0.00016947185142179855,1,1.0,0.0,0.0,0.00016947185142179855,2.251582640573313
2025-09-10,4349.81,0.009651295311531749,1,1.0,0.0,0.0,0.009651295311531749,2.2733133295558043
2025-09-11,4462.85,0.025987341975856504,1,1.0,0.0,0.0,0.025987341975856504,2.332390700469244
2025-09-12,4716.93,0.05693222940497655,-1,1.0,0.0,0.0,0.05693222940497655,2.465178902890393
2025-09-13,4666.17,-0.010761236651805395,-1,-1.0,2.0,0.001,0.009761236651805394,2.489242097550544
2025-09-14,4608.76,-0.012303452295994277,-1,-1.0,0.0,0.0,0.012303452295994277,2.5198683689509376
2025-09-15,4527.02,-0.017735790104062676,-1,-1.0,0.0,0.0,0.017735790104062676,2.564560225432518
2025-09-16,4504.6,-0.004952485299380194,-1,-1.0,0.0,0.0,0.004952485299380194,2.5772611722483476
2025-09-17,4592.34,0.01947786706921817,-1,-1.0,0.0,0.0,-0.01947786706921817,2.5270616217326367
2025-09-18,4589.52,-0.0006140660316962254,-1,-1.0,0.0,0.0,0.0006140660316962254,2.528613404434546
2025-09-19,4471.11,-0.025800083668880536,-1,-1.0,0.0,0.0,0.025800083668880536,2.59385184183521
2025-09-20,4481.59,0.0023439369641991004,-1,-1.0,0.0,0.0,-0.0023439369641991004,2.5877720166234766
2025-09-21,4447.0,-0.007718242855772162,-1,-1.0,0.0,0.0,0.007718242855772162,2.6077450695031477
2025-09-22,4203.07,-0.05485270969192724,-1,-1.0,0.0,0.0,0.05485270969192724,2.7507869527511586
2025-09-23,4165.01,-0.009055285779204114,-1,-1.0,0.0,0.0,0.009055285779204114,2.7756961147260264
2025-09-24,4154.62,-0.002494591849719563,1,-1.0,0.0,0.0,0.002494591849719563,2.78262034363112
2025-09-25,3872.63,-0.06787383683706327,1,1.0,2.0,0.001,-0.06887383683706327,2.590970604104377
2025-09-26,4035.39,0.0420282856869878,1,1.0,0.0,0.0,0.0420282856869878,2.6998646568602633
2025-09-27,4019.11,-0.004034306473475913,1,1.0,0.0,0.0,-0.004034306473475913,2.688972575397583
2025-09-28,4145.33,0.0314049627902695,1,1.0,0.0,0.0,0.0314049627902695,2.7734196590719993
2025-09-29,4218.01,0.01753298289882843,1,1.0,0.0,0.0,0.01753298289882843,2.822045978525783
2025-09-30,4146.97,-0.0168420653341268,1,1.0,0.0,0.0,-0.0168420653341268,2.7745168957795423
2025-10-01,4350.03,0.04896587146760156,1,1.0,0.0,0.0,0.04896587146760156,2.9103735334829723
2025-10-02,4487.47,0.031595184401027154,-1,1.0,0.0,0.0,0.031595184401027154,3.002327321949236
2025-10-03,4514.89,0.0061103472558035055,0,-1.0,2.0,0.001,-0.0071103472558035055,2.9809797321145903
2025-10-04,4489.0,-0.005734358976630771,-1,0.0,1.0,0.0005,-0.0005,2.9794892422485333
2025-10-05,4516.68,0.006166184005346409,-1,-1.0,1.0,0.0005,-0.006666184005346409,2.9596274187177545
2025-10-06,4688.96,0.0381430608322928,-1,-1.0,0.0,0.0,-0.0381430608322928,2.8467381700446817
2025-10-07,4450.01,-0.05096012761891755,-1,-1.0,0.0,0.0,0.05096012761891755,2.9918083104878024
2025-10-08,4526.57,0.01720445572032414,-1,-1.0,0.0,0.0,-0.01720445572032414,2.940335876886317
2025-10-09,4370.28,-0.034527246899970665,-1,-1.0,0.0,0.0,0.034527246899970665,3.0418575796764125
2025-10-10,3837.22,-0.12197387810392013,1,-1.0,0.0,0.0,0.12197387810392013,3.4128847453093485
2025-10-11,3749.47,-0.022868118064640508,1,1.0,2.0,0.001,-0.02386811806464051,3.3314256092672943
2025-10-12,4156.74,0.10862068505682143,-1,1.0,0.0,0.0,0.10862068505682143,3.6932873411617466
2025-10-13,4244.36,0.02107901865404127,-1,-1.0,2.0,0.001,-0.02207901865404127,3.611743181061502
2025-10-14,4125.99,-0.02788877475049234,-1,-1.0,0.0,0.0,0.02788877475049234,3.7124702730947527
2025-10-15,3987.78,-0.033497415165814615,0,-1.0,0.0,0.0,0.033497415165814615,3.836828431123353
2025-10-16,3895.24,-0.023205894006189,-1,0.0,1.0,0.0005,-0.0005,3.834910016907792
2025-10-17,3833.11,-0.015950236699150633,-1,-1.0,1.0,0.0005,0.015450236699150632,3.894160284388961
2025-10-18,3889.37,0.014677376855869007,-1,-1.0,0.0,0.0,-0.014677376855869007,3.837004226357826
2025-10-19,3984.67,0.024502682953794652,-1,-1.0,0.0,0.0,-0.024502682953794652,3.7429873283070103
2025-10-20,3981.32,-0.0008407220673229965,-1,-1.0,0.0,0.0,0.0008407220673229965,3.746134140351628
2025-10-21,3874.68,-0.026785086353269816,1,-1.0,0.0,0.0,0.026785086353269816,3.8464746667918783
2025-10-22,3805.71,-0.017800179627736945,1,1.0,2.0,0.001,-0.018800179627736946,3.7741602521226514
2025-10-23,3858.33,0.013826592147063277,1,1.0,0.0,0.0,0.013826592147063277,3.826344026626409
2025-10-24,3935.68,0.020047533518387395,-1,1.0,0.0,0.0,0.020047533518387395,3.9030527867530833
2025-10-25,3954.29,0.004728534840230836,-1,-1.0,2.0,0.001,-0.005728534840230836,3.8806940128809084
2025-10-26,4158.73,0.05170081101790713,-1,-1.0,0.0,0.0,-0.05170081101790713,3.680058985102629
2025-10-27,4118.66,-0.00963515303950957,-1,-1.0,0.0,0.0,0.00963515303950957,3.7155169166185154
2025-10-28,3980.25,-0.033605590167675836,-1,-1.0,0.0,0.0,0.033605590167675836,3.8403790553794632
2025-10-29,3902.54,-0.019523899252559485,-1,-1.0,0.0,0.0,0.019523899252559485,3.9153582291483313
2025-10-30,3802.67,-0.025591025332219464,-1,-1.0,0.0,0.0,0.025591025332219464,4.015556260775179
2025-10-31,3846.73,0.011586595734049965,-1,-1.0,0.0,0.0,-0.011586595734049965,3.969029633734244
2025-11-01,3872.37,0.006665401522851777,-1,-1.0,0.0,0.0,-0.006665401522851777,3.9425744575693082
