time,mark,price,price_next,signal,desired_pos,position,turnover,cost,gross_ret,strategy_ret,equity,event
2025-09-08,open,111050.0,112342.0,-1.0,-1.0,-1.0,0.0,0.0,-0.011500596393156592,-0.011500596393156592,1.0365739657678,
2025-09-09,open,112342.0,111322.0,-1.0,-1.0,-1.0,0.0,0.0,0.009162609367420638,0.009162609367420638,1.0460716880965684,
2025-09-10,open,111322.0,113876.0,-1.0,-1.0,-1.0,0.0,0.0,-0.02242790403596895,-0.02242790403596895,1.0226104926611945,
2025-09-11,open,113876.0,114539.0,-1.0,-1.0,-1.0,0.0,0.0,-0.0057884214110477394,-0.0057884214110477394,1.0166911921903123,
2025-09-12,open,114539.0,116134.0,-1.0,-1.0,-1.0,0.0,0.0,-0.013734134706459789,-0.013734134706459789,1.0027278184018993,
2025-09-15,open,116134.0,115562.0,-1.0,-1.0,-1.0,0.0,0.0,0.004949723957702323,0.004949723957702323,1.0076910443076978,
2025-09-16,open,115562.0,116888.0,-1.0,-1.0,-1.0,0.0,0.0,-0.011344192731503666,-0.011344192731503666,0.9962596028872611,
2025-09-17,open,116888.0,116096.0,-1.0,-1.0,-1.0,0.0,0.0,0.006821940463064946,0.006821940463064946,1.0030560265839148,
2025-09-18,open,116096.0,117343.0,-1.0,-1.0,-1.0,0.0,0.0,-0.010626965392055765,-0.010626965392055765,0.9923965849031146,
2025-09-19,open,117343.0,115486.0,-1.0,-1.0,-1.0,0.0,0.0,0.0160798711532133,0.0160798711532133,1.0083541941212455,
2025-09-22,open,115486.0,113028.0,-1.0,-1.0,-1.0,0.0,0.0,0.02174682379587356,0.02174682379587356,1.0302826951046302,
2025-09-23,open,113028.0,112217.0,-1.0,-1.0,-1.0,0.0,0.0,0.0072270689824180945,0.0072270689824180945,1.037728619213543,
2025-09-24,open,112217.0,113407.0,-1.0,-1.0,-1.0,0.0,0.0,-0.01049317943336836,-0.01049317943336836,1.026839546608994,
