run,run_dir,is_portfolio,asset,mode,task,signal_source,price,stop_loss,take_profit,trailing_stop,trailing_atr_mult,atr_window,stop_priority,cost_bps,slippage_bps,execution_delay,vol_target,vol_lookback,max_leverage,portfolio_weighting,weight_lookback,model,input,wavelet_kernel,wavelet_ar_p,long_only,uses_proba_signal,uses_stop_loss,uses_take_profit,uses_trailing_stop,uses_trailing_atr,uses_vol_target,uses_hmm,uses_fft,uses_wavelet,uses_dmd,uses_neural_net,m_start,m_end,m_n_bars,m_total_return,m_cagr,m_max_drawdown,m_ann_factor,m_sharpe,m_avg_bar_return,m_vol_bar,m_turnover_sum,m_n_position_changes,t_n_trades,t_n_wins,t_n_losses,t_n_breakeven,t_win_rate,t_win_loss_ratio,t_avg_win,t_avg_loss,t_profit_factor,t_expectancy,t_median_trade_return
bt_crypto_5y_BTC-USD_hgb_wavelet,bt_crypto_5y_BTC-USD_hgb_wavelet,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,dwt_db8,,False,False,False,False,False,False,True,False,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,0.012053051007091753,0.006139127280348156,-0.037016882504229964,365.76083916083917,0.19019934285470352,1.8453169164341254e-05,0.0018554982688344527,15.56837348317286,100,81,44,37,0,0.5432098765432098,1.1891891891891893,0.014696718910783273,-0.01464281071969681,1.1935672446920533,0.0012947115487121235,0.0012110369503888219
bt_crypto_5y_BTC-USD_hgb_wv_cwt_morlet,bt_crypto_5y_BTC-USD_hgb_wv_cwt_morlet,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,cwt_morlet,,False,False,False,False,False,False,True,False,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,-0.05063524965758259,-0.026195123571020718,-0.07924657788735812,365.76083916083917,-0.41546282804243956,-6.771377241130169e-05,0.003117047633586189,13.145382127593232,250,244,124,120,0,0.5081967213114754,1.0333333333333334,0.014158521345425478,-0.01321609410130123,1.1070193617567519,0.0006955957158877526,0.00024262218376652767
bt_crypto_5y_BTC-USD_hgb_wv_cwt_morlet_ar5,bt_crypto_5y_BTC-USD_hgb_wv_cwt_morlet_ar5,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,cwt_morlet,5.0,False,False,False,False,False,False,True,False,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,-0.05063524965758259,-0.026195123571020718,-0.07924657788735812,365.76083916083917,-0.41546282804243956,-6.771377241130169e-05,0.003117047633586189,13.145382127593232,250,244,124,120,0,0.5081967213114754,1.0333333333333334,0.014158521345425478,-0.01321609410130123,1.1070193617567519,0.0006955957158877526,0.00024262218376652767
bt_crypto_5y_BTC-USD_hgb_wv_cwt_ricker,bt_crypto_5y_BTC-USD_hgb_wv_cwt_ricker,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,cwt_ricker,,False,False,False,False,False,False,True,False,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,-0.07422339605590877,-0.038631128349063015,-0.08438943582319625,365.76083916083917,-0.7506519967149787,-0.00010418415730512356,0.002654371108873401,14.47470965049316,208,195,99,96,0,0.5076923076923077,1.03125,0.01285369983018367,-0.012910017636207883,1.0267513432902227,0.0001700235390370592,0.0003491847578247498
bt_crypto_5y_BTC-USD_hgb_wv_cwt_ricker_ar5,bt_crypto_5y_BTC-USD_hgb_wv_cwt_ricker_ar5,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,cwt_ricker,5.0,False,False,False,False,False,False,True,False,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,-0.07243595843597339,-0.0376833779057163,-0.08453703715204264,365.76083916083917,-0.7202164110642434,-0.00010138894146565611,0.002692316906305653,13.433657618262563,211,198,98,100,0,0.494949494949495,0.98,0.012609841514722425,-0.013244623363876908,0.9330310379479677,-0.0004479690300247137,-0.00019265753262887042
bt_crypto_5y_BTC-USD_hgb_wv_dwt_db2,bt_crypto_5y_BTC-USD_hgb_wv_dwt_db2,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,dwt_db2,,False,False,False,False,False,False,True,False,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,0.0,0.0,0.0,365.76083916083917,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_crypto_5y_BTC-USD_hgb_wv_dwt_db4,bt_crypto_5y_BTC-USD_hgb_wv_dwt_db4,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,dwt_db4,,False,False,False,False,False,False,True,False,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,0.028532602663005946,0.0144752704906288,-0.02894368656707591,365.76083916083917,0.6124836411618009,4.007388610673715e-05,0.0012513118820241804,8.220255943275845,46,34,18,16,0,0.5294117647058824,1.125,0.013401581971383143,-0.014784217118300517,1.0197888462516809,0.00013767651741436134,0.0007244041618149621
bt_crypto_5y_BTC-USD_hgb_wv_dwt_db6,bt_crypto_5y_BTC-USD_hgb_wv_dwt_db6,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,dwt_db6,,False,False,False,False,False,False,True,False,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,-0.02047120427702198,-0.010510390903106792,-0.032586160037917145,365.76083916083917,-0.3227578786584334,-2.7554461344883934e-05,0.0016327273799990295,16.835051745827858,89,67,34,33,0,0.5074626865671642,1.0303030303030303,0.01812360646555872,-0.01447572652899164,1.2899391698293892,0.002067218572720483,0.0003491847578247498
bt_crypto_5y_BTC-USD_hgb_wv_dwt_db8,bt_crypto_5y_BTC-USD_hgb_wv_dwt_db8,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,dwt_db8,,False,False,False,False,False,False,True,False,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,0.012053051007091753,0.006139127280348156,-0.037016882504229964,365.76083916083917,0.19019934285470352,1.8453169164341254e-05,0.0018554982688344527,15.56837348317286,100,81,44,37,0,0.5432098765432098,1.1891891891891893,0.014696718910783273,-0.01464281071969681,1.1935672446920533,0.0012947115487121235,0.0012110369503888219
bt_crypto_5y_BTC-USD_hgb_wv_dwt_db8_ar5,bt_crypto_5y_BTC-USD_hgb_wv_dwt_db8_ar5,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,dwt_db8,5.0,False,False,False,False,False,False,True,False,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,0.011909625307555904,0.006066285429294549,-0.035393119461592515,365.76083916083917,0.187759764145373,1.826424155232619e-05,0.0018603630871032318,16.215679484634286,104,84,46,38,0,0.5476190476190477,1.2105263157894737,0.014552832049153036,-0.01493270945073267,1.179731395892113,0.0012141347039666445,0.0010412068131043783
